,Unnamed: 0,Service,Country,Local Price,Currency,Plan/Title,Cost in USD (VALUES),GDP per Capita (PPP),Service Type
66,,Netflix,Switzerland,21.90,CHF,Premium,$22.85,"$67,557.70",Video Streaming
68,,Netflix,Denmark,129.00,DKK,Premium,$19.56,"$55,674.67",Video Streaming
69,,Netflix,Finland,15.99,EUR,Premium,$18.12,"$49,547.88",Video Streaming
84,,Netflix,Spain,15.99,EUR,Premium,$18.12,"$43,007.50",Video Streaming
85,,Netflix,Italy,15.99,EUR,Premium,$18.12,"$41,582.19",Video Streaming
86,,Netflix,Austria,15.99,EUR,Premium,$18.12,"$55,171.99",Video Streaming
88,,Netflix,France,15.99,EUR,Premium,$18.12,"$48,640.05",Video Streaming
99,,Netflix,Germany,15.99,EUR,Premium,$18.12,"$55,306.21",Video Streaming
112,,Netflix,Iceland,15.99,EUR,Premium,$18.12,"$56,973.68",Video Streaming
117,,Netflix,Malta,15.99,EUR,Premium,$18.12,"$49,589.46",Video Streaming
118,,Netflix,Slovakia,15.99,EUR,Premium,$18.12,"$38,321.54",Video Streaming
123,,Netflix,Ireland,15.99,EUR,Premium,$18.12,"$86,988.20",Video Streaming
125,,Netflix,Switzerland,16.90,CHF,Standard,$17.63,"$67,557.70",Video Streaming
133,,Netflix,Israel,60.90,NIS,Premium,$17.59,"$40,336.84",Video Streaming
139,,Netflix,Japan,"1,800.00",JPY,Premium,$16.47,"$46,827.35",Video Streaming
146,,Netflix,Costa Rica,15.99,USD,Premium,$15.99,"$18,650.95",Video Streaming
148,,Netflix,Uruguay,15.99,USD,Premium,$15.99,"$24,515.57",Video Streaming
182,,Netflix,United States,15.99,USD,Premium,$15.99,"$67,426.84",Video Streaming
185,,Netflix,Portugal,13.99,EUR,Premium,$15.85,"$34,935.82",Video Streaming
189,,Netflix,Bolivia,13.99,EUR,Premium,$15.85,"$8,524.76",Video Streaming
192,,Netflix,Netherlands,13.99,EUR,Premium,$15.85,"$60,299.14",Video Streaming
194,,Netflix,Guatemala,13.99,EUR,Premium,$15.85,"$9,009.03",Video Streaming
195,,Netflix,Belgium,13.99,EUR,Premium,$15.85,"$50,904.69",Video Streaming
218,,Netflix,Greece,13.99,EUR,Premium,$15.85,"$31,616.27",Video Streaming
220,,Netflix,Luxembourg,13.99,EUR,Premium,$15.85,"$112,044.59",Video Streaming
221,,Netflix,United Arab Emirates,56.00,AED,Premium,$15.29,"$70,441.55",Video Streaming
287,,Netflix,United Kingdom,11.99,GBP,Premium,$15.17,"$48,168.87",Video Streaming
288,,Netflix,Sweden,139.00,SEK,Premium,$15.13,"$55,988.99",Video Streaming
289,,Netflix,Denmark,99.00,DKK,Standard,$15.01,"$55,674.67",Video Streaming
290,,Netflix,Qatar,14.99,USD,Premium,$14.99,"$138,909.78",Video Streaming
291,,Netflix,Kuwait,14.99,USD,Premium,$14.99,"$67,890.98",Video Streaming
292,,Netflix,Bahrain,14.99,USD,Premium,$14.99,"$51,991.13",Video Streaming
293,,Netflix,Norway,139.00,NOK,Premium,$14.94,"$79,638.07",Video Streaming
300,,Netflix,Saudi Arabia,56.00,SAR,Premium,$14.92,"$56,912.37",Video Streaming
301,,Netflix,New Zealand,21.99,NZD,Premium,$14.29,"$42,044.57",Video Streaming
302,,Netflix,Venezuela,13.99,USD,Premium,$13.99,"$5,699.00",Video Streaming
303,,Netflix,Czech Republic,319.00,CZK,Premium,$13.60,"$40,584.79",Video Streaming
304,,Netflix,Finland,11.99,EUR,Standard,$13.59,"$49,547.88",Video Streaming
305,,Netflix,Spain,11.99,EUR,Standard,$13.59,"$43,007.50",Video Streaming
306,,Netflix,Italy,11.99,EUR,Standard,$13.59,"$41,582.19",Video Streaming
307,,Netflix,Austria,11.99,EUR,Standard,$13.59,"$55,171.99",Video Streaming
308,,Netflix,France,11.99,EUR,Standard,$13.59,"$48,640.05",Video Streaming
309,,Netflix,Germany,11.99,EUR,Standard,$13.59,"$55,306.21",Video Streaming
310,,Netflix,Iceland,11.99,EUR,Standard,$13.59,"$56,973.68",Video Streaming
311,,Netflix,Malta,11.99,EUR,Standard,$13.59,"$49,589.46",Video Streaming
312,,Netflix,Slovakia,11.99,EUR,Standard,$13.59,"$38,321.54",Video Streaming
313,,Netflix,Ireland,11.99,EUR,Standard,$13.59,"$86,988.20",Video Streaming
314,,Netflix,Slovenia,11.99,EUR,Premium,$13.59,"$40,343.95",Video Streaming
315,,Netflix,Estonia,11.99,EUR,Premium,$13.59,"$37,605.62",Video Streaming
316,,Netflix,Latvia,11.99,EUR,Premium,$13.59,"$32,986.51",Video Streaming
317,,Netflix,Ukraine,11.99,EUR,Premium,$13.59,"$10,310.06",Video Streaming
329,,Netflix,Croatia,11.99,EUR,Premium,$13.59,"$29,207.13",Video Streaming
330,,Netflix,Romania,11.99,EUR,Premium,$13.59,"$29,554.75",Video Streaming
331,,Netflix,Lithuania,11.99,EUR,Premium,$13.59,"$38,751.02",Video Streaming
332,,Netflix,Russia,11.99,EUR,Premium,$13.59,"$30,819.56",Video Streaming
333,,Netflix,Israel,46.90,NIS,Standard,$13.54,"$40,336.84",Video Streaming
334,,Netflix,Thailand,420.00,THB,Premium,$13.34,"$21,360.92",Video Streaming
335,,Netflix,Poland,52.00,PLN,Premium,$13.26,"$35,651.18",Video Streaming
346,,Netflix,Hungary,"3,990.00",HUF,Premium,$13.12,"$35,941.19",Video Streaming
347,,Netflix,Taiwan,390.00,TWD,Premium,$13.12,"$57,214.16",Video Streaming
348,,Netflix,Peru,44.90,PEN,Premium,$13.10,"$15,398.62",Video Streaming
349,,Netflix,Costa Rica,12.99,USD,Standard,$12.99,"$18,650.95",Video Streaming
350,,Netflix,Uruguay,12.99,USD,Standard,$12.99,"$24,515.57",Video Streaming
351,,Netflix,United States,12.99,USD,Standard,$12.99,"$67,426.84",Video Streaming
352,,Netflix,Canada,16.99,CAD,Premium,$12.63,"$52,144.45",Video Streaming
353,,Netflix,Australia,17.99,AUD,Premium,$12.57,"$54,799.04",Video Streaming
354,,Netflix,Portugal,10.99,EUR,Standard,$12.45,"$34,935.82",Video Streaming
355,,Netflix,Bolivia,10.99,EUR,Standard,$12.45,"$8,524.76",Video Streaming
582,,Netflix,Netherlands,10.99,EUR,Standard,$12.45,"$60,299.14",Video Streaming
583,,Netflix,Guatemala,10.99,EUR,Standard,$12.45,"$9,009.03",Video Streaming
584,,Netflix,Belgium,10.99,EUR,Standard,$12.45,"$50,904.69",Video Streaming
585,,Netflix,Greece,10.99,EUR,Standard,$12.45,"$31,616.27",Video Streaming
586,,Netflix,Luxembourg,10.99,EUR,Standard,$12.45,"$112,044.59",Video Streaming
587,,Netflix,Switzerland,11.90,CHF,Basic,$12.42,"$67,557.70",Video Streaming
588,,Netflix,Singapore,16.98,SGD,Premium,$12.19,"$105,689.46",Video Streaming
589,,Netflix,Indonesia,"169,000.00",IDR,Premium,$12.14,"$14,840.76",Video Streaming
590,,Netflix,Hong Kong,93.00,HKD,Premium,$12.00,"$66,527.92",Video Streaming
591,,Netflix,South Korea,"14,500.00",KRW,Premium,$12.00,"$46,451.61",Video Streaming
592,,Netflix,Iran*,11.99,USD,Premium,$11.99,"$19,098.00",Video Streaming
593,,Netflix,Egypt,11.99,USD,Premium,$11.99,"$14,800.34",Video Streaming
594,,Netflix,Iraq,11.99,USD,Premium,$11.99,"$18,754.87",Video Streaming
595,,Netflix,Algeria,11.99,USD,Premium,$11.99,"$16,090.69",Video Streaming
596,,Netflix,Jordan,11.99,USD,Premium,$11.99,"$9,939.37",Video Streaming
597,,Netflix,Lebanon,11.99,USD,Premium,$11.99,"$15,598.81",Video Streaming
598,,Netflix,Morocco,11.99,USD,Premium,$11.99,"$9,666.65",Video Streaming
599,,Netflix,Tunisia,11.99,USD,Premium,$11.99,"$13,092.76",Video Streaming
600,,Netflix,Nigeria,11.99,USD,Premium,$11.99,"$6,171.68",Video Streaming
601,,Netflix,Zambia,11.99,USD,Premium,$11.99,"$4,174.26",Video Streaming
602,,Netflix,Kenya,11.99,USD,Premium,$11.99,"$4,078.18",Video Streaming
603,,Netflix,Zimbabwe,11.99,USD,Premium,$11.99,"$2,777.69",Video Streaming
604,,Netflix,Nepal,11.99,USD,Premium,$11.99,"$3,549.85",Video Streaming
605,,Netflix,Bangladesh,11.99,USD,Premium,$11.99,"$5,453.01",Video Streaming
606,,Netflix,Denmark,79.00,DKK,Basic,$11.98,"$55,674.67",Video Streaming
622,,Netflix,Malaysia,51.00,MYR,Premium,$11.93,"$34,567.07",Video Streaming
623,,Netflix,Sweden,109.00,SEK,Standard,$11.87,"$55,988.99",Video Streaming
624,,Netflix,Norway,109.00,NOK,Standard,$11.72,"$79,638.07",Video Streaming
625,,Netflix,United Kingdom,8.99,GBP,Standard,$11.38,"$48,168.87",Video Streaming
626,,Netflix,Slovenia,9.99,EUR,Standard,$11.32,"$40,343.95",Video Streaming
627,,Netflix,Estonia,9.99,EUR,Standard,$11.32,"$37,605.62",Video Streaming
628,,Netflix,Latvia,9.99,EUR,Standard,$11.32,"$32,986.51",Video Streaming
629,,Netflix,Ukraine,9.99,EUR,Standard,$11.32,"$10,310.06",Video Streaming
653,,Netflix,Croatia,9.99,EUR,Standard,$11.32,"$29,207.13",Video Streaming
664,,Netflix,Romania,9.99,EUR,Standard,$11.32,"$29,554.75",Video Streaming
669,,Netflix,Lithuania,9.99,EUR,Standard,$11.32,"$38,751.02",Video Streaming
681,,Netflix,Russia,9.99,EUR,Standard,$11.32,"$30,819.56",Video Streaming
682,,Netflix,Vietnam,"260,000.00",VND,Premium,$11.22,"$8,677.54",Video Streaming
684,,Netflix,Thailand,350.00,THB,Standard,$11.12,"$21,360.92",Video Streaming
696,,Netflix,Taiwan,330.00,TWD,Standard,$11.10,"$57,214.16",Video Streaming
698,,Netflix,New Zealand,16.99,NZD,Standard,$11.04,"$42,044.57",Video Streaming
699,,Netflix,Czech Republic,259.00,CZK,Standard,$11.04,"$40,584.79",Video Streaming
700,,Netflix,Philippines,550.00,PHP,Premium,$11.04,"$10,094.39",Video Streaming
701,,Netflix,Venezuela,10.99,USD,Standard,$10.99,"$5,699.00",Video Streaming
702,,Netflix,Japan,"1,200.00",JPY,Standard,$10.98,"$46,827.35",Video Streaming
722,,Netflix,Poland,43.00,PLN,Standard,$10.97,"$35,651.18",Video Streaming
723,,Netflix,United Arab Emirates,39.00,AED,Standard,$10.65,"$70,441.55",Video Streaming
724,,Netflix,India,799.00,INR,Premium,$10.58,"$9,026.87",Video Streaming
726,,Netflix,Mexico,229.00,MXN,Premium,$10.55,"$21,362.85",Video Streaming
727,,Netflix,Hungary,"3,190.00",HUF,Standard,$10.49,"$35,941.19",Video Streaming
734,,Netflix,Chile,"7,990.00",CPL,Premium,$10.43,"$27,150.38",Video Streaming
736,,Netflix,Canada,13.99,CAD,Standard,$10.40,"$52,144.45",Video Streaming
737,,Netflix,Saudi Arabia,39.00,SAR,Standard,$10.39,"$56,912.37",Video Streaming
738,,Netflix,Peru,34.90,PEN,Standard,$10.18,"$15,398.62",Video Streaming
745,,Netflix,Hong Kong,78.00,HKD,Standard,$10.06,"$66,527.92",Video Streaming
747,,Netflix,Singapore,13.98,SGD,Standard,$10.04,"$105,689.46",Video Streaming
753,,Netflix,South Africa,169.00,ZAR,Premium,$10.04,"$13,965.17",Video Streaming
762,,Netflix,Iran*,9.99,USD,Standard,$9.99,"$19,098.00",Video Streaming
764,,Netflix,Egypt,9.99,USD,Standard,$9.99,"$14,800.34",Video Streaming
765,,Netflix,Qatar,9.99,USD,Standard,$9.99,"$138,909.78",Video Streaming
776,,Netflix,Iraq,9.99,USD,Standard,$9.99,"$18,754.87",Video Streaming
777,,Netflix,Algeria,9.99,USD,Standard,$9.99,"$16,090.69",Video Streaming
778,,Netflix,Jordan,9.99,USD,Standard,$9.99,"$9,939.37",Video Streaming
788,,Netflix,Lebanon,9.99,USD,Standard,$9.99,"$15,598.81",Video Streaming
791,,Netflix,Kuwait,9.99,USD,Standard,$9.99,"$67,890.98",Video Streaming
793,,Netflix,Morocco,9.99,USD,Standard,$9.99,"$9,666.65",Video Streaming
801,,Netflix,Tunisia,9.99,USD,Standard,$9.99,"$13,092.76",Video Streaming
805,,Netflix,Bahrain,9.99,USD,Standard,$9.99,"$51,991.13",Video Streaming
806,,Netflix,Nigeria,9.99,USD,Standard,$9.99,"$6,171.68",Video Streaming
819,,Netflix,Zambia,9.99,USD,Standard,$9.99,"$4,174.26",Video Streaming
820,,Netflix,Kenya,9.99,USD,Standard,$9.99,"$4,078.18",Video Streaming
821,,Netflix,Zimbabwe,9.99,USD,Standard,$9.99,"$2,777.69",Video Streaming
826,,Netflix,Nepal,9.99,USD,Standard,$9.99,"$3,549.85",Video Streaming
827,,Netflix,Bangladesh,9.99,USD,Standard,$9.99,"$5,453.01",Video Streaming
828,,Netflix,Indonesia,"139,000.00",IDR,Standard,$9.98,"$14,840.76",Video Streaming
842,,Netflix,South Korea,"12,000.00",KRW,Standard,$9.93,"$46,451.61",Video Streaming
843,,Netflix,Malaysia,42.00,MYR,Standard,$9.83,"$34,567.07",Video Streaming
844,,Netflix,Australia,13.99,AUD,Standard,$9.77,"$54,799.04",Video Streaming
857,,Netflix,Sweden,89.00,SEK,Basic,$9.69,"$55,988.99",Video Streaming
859,,Netflix,Norway,89.00,NOK,Basic,$9.57,"$79,638.07",Video Streaming
860,,Netflix,Israel,32.90,NIS,Basic,$9.50,"$40,336.84",Video Streaming
891,,Netflix,Vietnam,"220,000.00",VND,Standard,$9.50,"$8,677.54",Video Streaming
894,,Netflix,Philippines,460.00,PHP,Standard,$9.23,"$10,094.39",Video Streaming
895,,Netflix,Colombia,"32,900.00",COP,Premium,$9.14,"$16,264.97",Video Streaming
908,,Netflix,Taiwan,270.00,TWD,Basic,$9.08,"$57,214.16",Video Streaming
910,,Netflix,Portugal,7.99,EUR,Basic,$9.05,"$34,935.82",Video Streaming
912,,Netflix,Finland,7.99,EUR,Basic,$9.05,"$49,547.88",Video Streaming
915,,Netflix,Spain,7.99,EUR,Basic,$9.05,"$43,007.50",Video Streaming
917,,Netflix,Italy,7.99,EUR,Basic,$9.05,"$41,582.19",Video Streaming
919,,Netflix,Bolivia,7.99,EUR,Basic,$9.05,"$8,524.76",Video Streaming
932,,Netflix,Netherlands,7.99,EUR,Basic,$9.05,"$60,299.14",Video Streaming
933,,Netflix,Slovenia,7.99,EUR,Basic,$9.05,"$40,343.95",Video Streaming
934,,Netflix,Austria,7.99,EUR,Basic,$9.05,"$55,171.99",Video Streaming
950,,Netflix,France,7.99,EUR,Basic,$9.05,"$48,640.05",Video Streaming
951,,Netflix,Germany,7.99,EUR,Basic,$9.05,"$55,306.21",Video Streaming
952,,Netflix,Guatemala,7.99,EUR,Basic,$9.05,"$9,009.03",Video Streaming
956,,Netflix,Belgium,7.99,EUR,Basic,$9.05,"$50,904.69",Video Streaming
957,,Netflix,Estonia,7.99,EUR,Basic,$9.05,"$37,605.62",Video Streaming
958,,Netflix,Greece,7.99,EUR,Basic,$9.05,"$31,616.27",Video Streaming
959,,Netflix,Luxembourg,7.99,EUR,Basic,$9.05,"$112,044.59",Video Streaming
960,,Netflix,Latvia,7.99,EUR,Basic,$9.05,"$32,986.51",Video Streaming
961,,Netflix,Ukraine,7.99,EUR,Basic,$9.05,"$10,310.06",Video Streaming
962,,Netflix,Croatia,7.99,EUR,Basic,$9.05,"$29,207.13",Video Streaming
963,,Netflix,Romania,7.99,EUR,Basic,$9.05,"$29,554.75",Video Streaming
964,,Netflix,Iceland,7.99,EUR,Basic,$9.05,"$56,973.68",Video Streaming
965,,Netflix,Lithuania,7.99,EUR,Basic,$9.05,"$38,751.02",Video Streaming
966,,Netflix,Russia,7.99,EUR,Basic,$9.05,"$30,819.56",Video Streaming
967,,Netflix,Malta,7.99,EUR,Basic,$9.05,"$49,589.46",Video Streaming
968,,Netflix,Slovakia,7.99,EUR,Basic,$9.05,"$38,321.54",Video Streaming
969,,Netflix,Ireland,7.99,EUR,Basic,$9.05,"$86,988.20",Video Streaming
970,,Netflix,Turkey,8.99,USD,Basic,$8.99,"$29,326.50",Video Streaming
972,,Netflix,Argentina,8.99,USD,Basic,$8.99,"$19,970.52",Video Streaming
973,,Netflix,Costa Rica,8.99,USD,Basic,$8.99,"$18,650.95",Video Streaming
974,,Netflix,Uruguay,8.99,USD,Basic,$8.99,"$24,515.57",Video Streaming
977,,Netflix,United States,8.99,USD,Basic,$8.99,"$67,426.84",Video Streaming
978,,Netflix,Brazil,45.90,BRL,Premium,$8.99,"$17,016.32",Video Streaming
979,,Netflix,Thailand,280.00,THB,Basic,$8.89,"$21,360.92",Video Streaming
980,,Netflix,Poland,34.00,PLN,Basic,$8.67,"$35,651.18",Video Streaming
995,,Netflix,India,649.00,INR,Standard,$8.59,"$9,026.87",Video Streaming
996,,Netflix,Czech Republic,199.00,CZK,Basic,$8.48,"$40,584.79",Video Streaming
997,,Netflix,South Africa,139.00,ZAR,Standard,$8.25,"$13,965.17",Video Streaming
1210,,Netflix,Hungary,"2,490.00",HUF,Basic,$8.19,"$35,941.19",Video Streaming
1211,,Netflix,Hong Kong,63.00,HKD,Basic,$8.13,"$66,527.92",Video Streaming
1212,,Netflix,Iran*,7.99,USD,Basic,$7.99,"$19,098.00",Video Streaming
1213,,Netflix,Egypt,7.99,USD,Basic,$7.99,"$14,800.34",Video Streaming
1214,,Netflix,Qatar,7.99,USD,Basic,$7.99,"$138,909.78",Video Streaming
1215,,Netflix,Iraq,7.99,USD,Basic,$7.99,"$18,754.87",Video Streaming
1216,,Netflix,Algeria,7.99,USD,Basic,$7.99,"$16,090.69",Video Streaming
1217,,Netflix,Jordan,7.99,USD,Basic,$7.99,"$9,939.37",Video Streaming
1218,,Netflix,Lebanon,7.99,USD,Basic,$7.99,"$15,598.81",Video Streaming
1219,,Netflix,Kuwait,7.99,USD,Basic,$7.99,"$67,890.98",Video Streaming
1220,,Netflix,Morocco,7.99,USD,Basic,$7.99,"$9,666.65",Video Streaming
1221,,Netflix,Tunisia,7.99,USD,Basic,$7.99,"$13,092.76",Video Streaming
1222,,Netflix,Bahrain,7.99,USD,Basic,$7.99,"$51,991.13",Video Streaming
1223,,Netflix,Nigeria,7.99,USD,Basic,$7.99,"$6,171.68",Video Streaming
1224,,Netflix,Zambia,7.99,USD,Basic,$7.99,"$4,174.26",Video Streaming
1225,,Netflix,Venezuela,7.99,USD,Basic,$7.99,"$5,699.00",Video Streaming
1226,,Netflix,Kenya,7.99,USD,Basic,$7.99,"$4,078.18",Video Streaming
1227,,Netflix,Zimbabwe,7.99,USD,Basic,$7.99,"$2,777.69",Video Streaming
1238,,Netflix,Nepal,7.99,USD,Basic,$7.99,"$3,549.85",Video Streaming
1239,,Netflix,Bangladesh,7.99,USD,Basic,$7.99,"$5,453.01",Video Streaming
1240,,Netflix,United Arab Emirates,29.00,AED,Basic,$7.92,"$70,441.55",Video Streaming
1243,,Netflix,Singapore,10.98,SGD,Basic,$7.88,"$105,689.46",Video Streaming
1244,,Netflix,South Korea,"9,500.00",KRW,Basic,$7.86,"$46,451.61",Video Streaming
1245,,Netflix,Indonesia,"109,000.00",IDR,Basic,$7.83,"$14,840.76",Video Streaming
1246,,Netflix,Chile,"5,990.00",CPL,Standard,$7.82,"$27,150.38",Video Streaming
1247,,Netflix,New Zealand,11.99,NZD,Basic,$7.79,"$42,044.57",Video Streaming
1248,,Netflix,Mexico,169.00,MXN,Standard,$7.78,"$21,362.85",Video Streaming
1249,,Netflix,Vietnam,"180,000.00",VND,Basic,$7.77,"$8,677.54",Video Streaming
1250,,Netflix,Saudi Arabia,29.00,SAR,Basic,$7.73,"$56,912.37",Video Streaming
1251,,Netflix,Malaysia,33.00,MYR,Basic,$7.72,"$34,567.07",Video Streaming
1252,,Netflix,United Kingdom,5.99,GBP,Basic,$7.58,"$48,168.87",Video Streaming
1253,,Netflix,Canada,9.99,CAD,Basic,$7.43,"$52,144.45",Video Streaming
1254,,Netflix,Philippines,370.00,PHP,Basic,$7.42,"$10,094.39",Video Streaming
1255,,Netflix,Japan,800.00,JPY,Basic,$7.32,"$46,827.35",Video Streaming
1256,,Netflix,Peru,24.90,PEN,Basic,$7.26,"$15,398.62",Video Streaming
1257,,Netflix,Australia,9.99,AUD,Basic,$6.98,"$54,799.04",Video Streaming
1258,,Netflix,Colombia,"24,900.00",COP,Standard,$6.92,"$16,264.97",Video Streaming
1259,,Netflix,India,499.00,INR,Basic,$6.61,"$9,026.87",Video Streaming
1275,,Netflix,Brazil,32.90,BRL,Standard,$6.44,"$17,016.32",Video Streaming
1276,,Netflix,Chile,"4,590.00",CPL,Basic,$5.99,"$27,150.38",Video Streaming
1277,,Netflix,Mexico,129.00,MXN,Basic,$5.94,"$21,362.85",Video Streaming
1282,,Netflix,South Africa,99.00,ZAR,Basic,$5.88,"$13,965.17",Video Streaming
1283,,Netflix,Colombia,"16,900.00",COP,Basic,$4.70,"$16,264.97",Video Streaming
1296,,Netflix,Brazil,21.90,BRL,Basic,$4.29,"$17,016.32",Video Streaming
